                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.121,                0.68078,                0.86182,                0.92834,                0.77128,                0.86202,                0.66565,                 1.0645,                0.61671,                0.83559,             5.8119e-05,             5.8119e-05,             5.8119e-05
                      2,                 1.1365,                0.69003,                0.86379,                0.92714,                0.77666,                0.86647,                0.66644,                  1.065,                0.61574,                0.83721,              0.0001153,              0.0001153,              0.0001153
                      3,                 1.1455,                0.69409,                 0.8656,                0.92881,                0.75638,                0.86064,                0.65031,                 1.1278,                0.64456,                0.84304,             0.00017132,             0.00017132,             0.00017132
                      4,                 1.1395,                0.70174,                0.86444,                0.92413,                0.76419,                0.86681,                0.66069,                 1.0725,                0.64938,                0.83825,              0.0001698,              0.0001698,              0.0001698
                      5,                 1.1377,                 0.6933,                0.86669,                0.91966,                 0.7619,                0.86151,                 0.6592,                 1.0818,                0.64149,                0.83827,              0.0001698,              0.0001698,              0.0001698
                      6,                 1.1447,                0.69484,                0.86527,                0.91054,                0.77085,                0.85806,                0.65909,                 1.0647,                0.64925,                 0.8378,             0.00016807,             0.00016807,             0.00016807
                      7,                   1.14,                0.69576,                0.86485,                0.92248,                0.77318,                0.86932,                0.67441,                 1.0478,                0.62593,                0.83579,             0.00016634,             0.00016634,             0.00016634
                      8,                 1.1459,                0.69214,                0.86431,                0.92516,                 0.7757,                0.87674,                0.67695,                 1.0551,                 0.6584,                  0.837,              0.0001646,              0.0001646,              0.0001646
                      9,                 1.1386,                0.67993,                0.86101,                0.92393,                0.77947,                0.88052,                0.67274,                 1.0748,                0.62354,                0.83748,             0.00016287,             0.00016287,             0.00016287
                     10,                  1.132,                0.67445,                0.86376,                0.91952,                0.79046,                0.88423,                0.68037,                 1.0463,                 0.6066,                 0.8355,             0.00016114,             0.00016114,             0.00016114
